Airline,Source,Destination,Duration,Total_Stops,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Journey_Date,Is_Peak_Hour,Price
Jet Airways,Delhi,Cochin,1655,1,1,6,9,0,12,35,01-06-2019,1,10262
Jet Airways,Mumbai,Hyderabad,85,0,3,6,7,5,8,30,03-06-2019,0,4995
Jet Airways,Delhi,Cochin,1315,1,27,3,21,50,19,45,27-03-2019,1,7438
IndiGo,Kolkata,Banglore,170,0,21,3,5,30,8,20,21-03-2019,0,4148
IndiGo,Chennai,Kolkata,140,0,27,5,14,45,17,5,27-05-2019,1,3597
Air Asia,Kolkata,Banglore,955,1,1,5,7,35,23,30,01-05-2019,0,5192
Jet Airways,Banglore,New Delhi,740,1,6,3,8,0,20,20,06-03-2019,0,16736
Multiple carriers,Delhi,Cochin,480,1,1,6,13,0,21,0,01-06-2019,1,7933
Air India,Delhi,Cochin,675,1,18,5,8,0,19,15,18-05-2019,0,8879
IndiGo,Delhi,Cochin,195,0,12,5,14,25,17,40,12-05-2019,1,5000
Vistara,Kolkata,Banglore,965,1,6,5,17,0,9,5,06-05-2019,1,8137
Air India,Delhi,Cochin,1580,2,9,3,16,55,19,15,09-03-2019,1,22096
SpiceJet,Banglore,New Delhi,170,0,24,3,5,45,8,35,24-03-2019,0,4273
Jet Airways,Banglore,New Delhi,365,1,1,3,18,40,0,45,01-03-2019,1,35185
IndiGo,Kolkata,Banglore,220,1,15,4,19,35,23,15,15-04-2019,1,4226
Jet Airways,Kolkata,Banglore,475,1,1,5,8,25,16,20,01-05-2019,0,10844
IndiGo,Mumbai,Hyderabad,90,0,12,6,12,0,13,30,12-06-2019,1,2754
IndiGo,Kolkata,Banglore,335,1,6,6,10,30,16,5,06-06-2019,1,6301
Air India,Kolkata,Banglore,1700,2,18,5,9,25,13,45,18-05-2019,1,13222
Jet Airways,Delhi,Cochin,1145,1,21,5,17,30,12,35,21-05-2019,1,12898
Air India,Banglore,New Delhi,830,1,12,3,6,45,20,35,12-03-2019,0,12127
Jet Airways,Kolkata,Banglore,1540,1,21,5,20,25,22,5,21-05-2019,1,13067
Air India,Kolkata,Banglore,1660,2,1,4,16,45,20,25,01-04-2019,1,9920
GoAir,Banglore,Delhi,175,0,1,4,7,45,10,40,01-04-2019,0,4239
Jet Airways,Delhi,Cochin,1270,1,6,6,21,50,19,0,06-06-2019,1,14714
IndiGo,Kolkata,Banglore,325,1,6,5,18,5,23,30,06-05-2019,1,6218
IndiGo,Chennai,Kolkata,140,0,1,3,5,15,7,35,01-03-2019,0,7295
Multiple carriers,Delhi,Cochin,460,1,9,6,3,50,11,30,09-06-2019,0,7408
Jet Airways,Kolkata,Banglore,505,1,9,6,9,35,18,0,09-06-2019,1,13994
IndiGo,Kolkata,Banglore,150,0,15,5,14,25,16,55,15-05-2019,1,5224
SpiceJet,Mumbai,Hyderabad,80,0,9,3,5,45,7,5,09-03-2019,0,4391
Air India,Kolkata,Banglore,1165,2,18,5,10,0,5,25,18-05-2019,1,14109
SpiceJet,Banglore,Delhi,170,0,27,4,9,30,12,20,27-04-2019,1,4885
Jet Airways,Banglore,Delhi,180,0,1,6,8,20,11,20,01-06-2019,0,8016
Multiple carriers,Delhi,Cochin,395,1,24,6,6,0,12,35,24-06-2019,0,12524
Jet Airways,Delhi,Cochin,995,1,27,3,2,15,18,50,27-03-2019,0,6017
Air India,Delhi,Cochin,1275,2,9,5,22,0,19,15,09-05-2019,0,10441
SpiceJet,Banglore,Delhi,175,0,1,4,21,10,0,5,01-04-2019,1,3625
Air India,Delhi,Cochin,2280,3,9,3,5,15,19,15,09-03-2019,0,15586
Air India,Delhi,Cochin,675,1,27,3,8,0,19,15,27-03-2019,0,7199
Jet Airways,Delhi,Cochin,1325,2,21,3,6,20,4,25,21-03-2019,0,12273
Multiple carriers,Delhi,Cochin,390,1,6,6,19,0,1,30,06-06-2019,1,7530
Jet Airways,Mumbai,Hyderabad,90,0,21,5,19,35,21,5,21-05-2019,1,5678
Air India,Delhi,Cochin,1245,2,24,6,10,55,7,40,24-06-2019,1,11753
SpiceJet,Mumbai,Hyderabad,90,0,21,5,22,45,0,15,21-05-2019,0,1965
IndiGo,Delhi,Cochin,400,1,21,3,6,40,13,20,21-03-2019,0,10208
IndiGo,Delhi,Cochin,305,1,21,5,20,25,1,30,21-05-2019,1,5054
IndiGo,Delhi,Cochin,425,1,3,3,8,25,15,30,03-03-2019,0,14871
Jet Airways,Delhi,Cochin,715,1,18,5,7,5,19,0,18-05-2019,0,12373
SpiceJet,Mumbai,Hyderabad,90,0,15,6,22,45,0,15,15-06-2019,0,2017
Jet Airways,Kolkata,Banglore,890,1,24,3,13,55,4,45,24-03-2019,1,10661
Multiple carriers,Delhi,Cochin,520,1,9,5,10,20,19,0,09-05-2019,1,9794
Jet Airways,Kolkata,Banglore,1630,1,9,5,20,25,23,35,09-05-2019,1,13067
SpiceJet,Chennai,Kolkata,140,0,3,3,17,45,20,5,03-03-2019,1,7298
IndiGo,Banglore,New Delhi,175,0,3,3,10,5,13,0,03-03-2019,1,7648
Air India,Kolkata,Banglore,590,2,12,5,12,0,21,50,12-05-2019,1,10676
Air India,Banglore,Delhi,165,0,3,6,10,0,12,45,03-06-2019,1,6961
IndiGo,Delhi,Cochin,845,1,15,5,11,25,1,30,15-05-2019,1,6979
Multiple carriers,Delhi,Cochin,720,1,27,5,9,0,21,0,27-05-2019,1,13587
Jet Airways,Kolkata,Banglore,570,1,24,5,14,5,23,35,24-05-2019,1,10844
IndiGo,Banglore,Delhi,170,0,12,5,10,10,13,0,12-05-2019,1,3943
IndiGo,Delhi,Cochin,705,1,12,6,9,15,21,0,12-06-2019,1,6838
Jet Airways,Delhi,Cochin,360,1,15,4,13,0,19,0,15-04-2019,1,6542
Jet Airways,Delhi,Cochin,715,1,21,5,7,5,19,0,21-05-2019,0,12239
Jet Airways,Kolkata,Banglore,730,1,12,5,16,30,4,40,12-05-2019,1,14388
IndiGo,Kolkata,Banglore,170,0,12,3,5,30,8,20,12-03-2019,0,4148
Multiple carriers,Delhi,Cochin,625,2,18,5,15,5,1,30,18-05-2019,1,16840
Multiple carriers,Delhi,Cochin,765,1,3,6,9,45,22,30,03-06-2019,1,9646
Jet Airways,Kolkata,Banglore,1265,1,9,6,21,10,18,15,09-06-2019,1,14571
IndiGo,Delhi,Cochin,570,1,15,5,16,0,1,30,15-05-2019,1,7923
Jet Airways,Kolkata,Banglore,520,1,12,5,20,0,4,40,12-05-2019,1,8586
Multiple carriers,Delhi,Cochin,555,1,3,6,13,15,22,30,03-06-2019,1,9646
Jet Airways,Kolkata,Banglore,1315,1,18,5,14,5,12,0,18-05-2019,1,14388
Jet Airways,Kolkata,Banglore,1430,1,12,6,16,30,16,20,12-06-2019,1,13044
Multiple carriers,Delhi,Cochin,540,1,21,5,10,0,19,0,21-05-2019,1,10197
Jet Airways,Delhi,Cochin,1395,1,1,6,19,45,19,0,01-06-2019,1,14714
Air India,Delhi,Cochin,555,1,1,6,10,0,19,15,01-06-2019,1,9929
Jet Airways,Delhi,Cochin,335,1,21,3,22,50,4,25,21-03-2019,0,6017
SpiceJet,Chennai,Kolkata,135,0,27,6,9,45,12,0,27-06-2019,1,3597
Air India,Delhi,Cochin,570,1,21,3,13,30,23,0,21-03-2019,1,5704
Jet Airways,Delhi,Cochin,520,1,3,6,19,45,4,25,03-06-2019,1,14714
Air India,Banglore,Delhi,165,0,12,5,10,0,12,45,12-05-2019,1,5228
Jet Airways,Kolkata,Banglore,1520,1,1,4,9,35,10,55,01-04-2019,1,11467
Vistara,Banglore,Delhi,170,0,6,6,9,45,12,35,06-06-2019,1,4668
IndiGo,Banglore,Delhi,180,0,18,4,21,15,0,15,18-04-2019,1,4591
IndiGo,Banglore,Delhi,180,0,12,5,21,15,0,15,12-05-2019,1,3943
Air India,Banglore,Delhi,165,0,21,4,10,0,12,45,21-04-2019,1,5228
Jet Airways,Delhi,Cochin,995,1,27,3,2,15,18,50,27-03-2019,0,12242
Air India,Delhi,Cochin,1580,2,9,6,7,5,9,25,09-06-2019,0,11185
IndiGo,Delhi,Cochin,975,1,9,4,9,15,1,30,09-04-2019,1,6573
Jet Airways,Kolkata,Banglore,365,1,15,5,16,30,22,35,15-05-2019,1,14781
Air India,Kolkata,Banglore,970,2,12,6,16,45,8,55,12-06-2019,1,14960
IndiGo,Chennai,Kolkata,145,0,15,5,11,35,14,0,15-05-2019,1,4332
Air Asia,Banglore,New Delhi,170,0,3,3,5,50,8,40,03-03-2019,0,7652
Jet Airways,Kolkata,Banglore,690,1,24,5,9,35,21,5,24-05-2019,1,14151
SpiceJet,Banglore,Delhi,170,0,12,6,9,30,12,20,12-06-2019,1,4319
Jet Airways,Delhi,Cochin,1420,2,21,3,19,10,18,50,21-03-2019,1,10929
Air India,Kolkata,Banglore,1620,2,24,3,7,0,10,0,24-03-2019,0,11491
IndiGo,Delhi,Cochin,195,0,18,4,14,20,17,35,18-04-2019,1,6015
Jet Airways,Kolkata,Banglore,690,1,12,6,9,35,21,5,12-06-2019,1,12692
Air Asia,Kolkata,Banglore,150,0,9,3,22,50,1,20,09-03-2019,0,4384
IndiGo,Banglore,Delhi,165,0,3,6,6,5,8,50,03-06-2019,0,3943
Jet Airways,Delhi,Cochin,600,1,18,5,9,0,19,0,18-05-2019,1,12373
Jet Airways,Banglore,New Delhi,315,1,6,3,8,0,13,15,06-03-2019,0,19225
Jet Airways,Delhi,Cochin,1385,1,9,3,19,45,18,50,09-03-2019,1,14053
Air India,Banglore,Delhi,170,0,12,4,13,20,16,10,12-04-2019,1,5911
Multiple carriers,Delhi,Cochin,740,1,9,6,6,40,19,0,09-06-2019,0,10877
Jet Airways,Kolkata,Banglore,585,1,6,6,18,55,4,40,06-06-2019,1,7757
IndiGo,Delhi,Cochin,515,1,21,3,7,35,16,10,21-03-2019,0,6558
IndiGo,Kolkata,Banglore,165,0,21,4,9,35,12,20,21-04-2019,1,4804
Jet Airways,Mumbai,Hyderabad,90,0,18,3,15,50,17,20,18-03-2019,1,5678
Jet Airways,Delhi,Cochin,1105,1,9,5,10,0,4,25,09-05-2019,1,12373
Jet Airways,Banglore,Delhi,165,0,6,5,6,0,8,45,06-05-2019,0,5198
IndiGo,Kolkata,Banglore,150,0,1,6,14,25,16,55,01-06-2019,1,6064
Jet Airways,Delhi,Cochin,395,1,9,3,21,50,4,25,09-03-2019,1,15029
Jet Airways,Delhi,Cochin,810,2,9,4,5,30,19,0,09-04-2019,0,10909
Multiple carriers,Delhi,Cochin,665,1,9,3,8,40,19,45,09-03-2019,0,18492
Jet Airways,Delhi,Cochin,1570,1,24,6,2,15,4,25,24-06-2019,0,10262
Jet Airways,Kolkata,Banglore,345,1,18,5,11,50,17,35,18-05-2019,1,8781
IndiGo,Delhi,Cochin,455,1,27,5,8,35,16,10,27-05-2019,0,6442
Jet Airways,Mumbai,Hyderabad,405,1,12,3,9,50,16,35,12-03-2019,1,20120
Vistara,Banglore,Delhi,165,0,27,5,19,30,22,15,27-05-2019,1,4878
Jet Airways,Banglore,New Delhi,760,1,6,3,5,45,18,25,06-03-2019,0,16736
SpiceJet,Kolkata,Banglore,435,1,24,5,11,15,18,30,24-05-2019,1,9630
Vistara,Kolkata,Banglore,700,1,9,5,7,10,18,50,09-05-2019,0,8610
Vistara,Chennai,Kolkata,135,0,27,6,7,5,9,20,27-06-2019,0,3687
Vistara,Kolkata,Banglore,765,1,15,5,20,20,9,5,15-05-2019,1,8452
IndiGo,Banglore,Delhi,170,0,18,5,10,30,13,20,18-05-2019,1,3943
IndiGo,Mumbai,Hyderabad,85,0,15,3,6,20,7,45,15-03-2019,0,3342
Jet Airways,Kolkata,Banglore,1080,1,12,5,20,25,14,25,12-05-2019,1,13067
Vistara,Banglore,Delhi,165,0,6,5,19,30,22,15,06-05-2019,1,4878
Jet Airways,Kolkata,Banglore,775,1,9,5,21,10,10,5,09-05-2019,1,14388
Jet Airways,Delhi,Cochin,900,2,27,5,13,25,4,25,27-05-2019,1,16704
Air India,Mumbai,Hyderabad,75,0,21,5,19,30,20,45,21-05-2019,1,3100
Air India,Banglore,New Delhi,1480,3,12,3,17,25,18,5,12-03-2019,1,13387
IndiGo,Mumbai,Hyderabad,90,0,9,6,9,10,10,40,09-06-2019,1,4049
Jet Airways,Delhi,Cochin,810,2,18,5,5,30,19,0,18-05-2019,0,13029
SpiceJet,Banglore,Delhi,175,0,9,4,21,10,0,5,09-04-2019,1,3919
IndiGo,Chennai,Kolkata,145,0,3,5,5,15,7,40,03-05-2019,0,3850
Air India,Delhi,Cochin,1210,2,24,6,13,15,9,25,24-06-2019,1,8839
Jet Airways,Kolkata,Banglore,730,1,1,4,16,30,4,40,01-04-2019,1,7064
Jet Airways,Kolkata,Banglore,735,1,12,5,20,0,8,15,12-05-2019,1,13941
Air India,Kolkata,Banglore,1470,3,24,5,10,0,10,30,24-05-2019,1,13007
Jet Airways,Kolkata,Banglore,510,1,18,5,14,5,22,35,18-05-2019,1,14781
Jet Airways,Mumbai,Hyderabad,90,0,18,3,19,35,21,5,18-03-2019,1,2071
Jet Airways,Delhi,Cochin,195,0,21,6,11,0,14,15,21-06-2019,1,4256
Vistara,Banglore,New Delhi,155,0,9,3,16,0,18,35,09-03-2019,1,7923
Air Asia,Kolkata,Banglore,150,0,15,3,22,50,1,20,15-03-2019,0,3782
Jet Airways,Kolkata,Banglore,800,1,15,5,20,25,9,45,15-05-2019,1,12384
Multiple carriers,Delhi,Cochin,935,1,21,3,10,0,1,35,21-03-2019,1,8565
IndiGo,Delhi,Cochin,300,1,21,3,16,0,21,0,21-03-2019,1,6232
IndiGo,Banglore,New Delhi,170,0,9,3,5,30,8,20,09-03-2019,0,4777
Air India,Kolkata,Banglore,155,0,1,6,20,45,23,20,01-06-2019,1,4145
Air Asia,Kolkata,Banglore,720,1,15,5,22,40,10,40,15-05-2019,0,5192
Air India,Delhi,Cochin,170,0,1,4,5,10,8,0,01-04-2019,0,4729
IndiGo,Delhi,Cochin,860,1,3,6,6,40,21,0,03-06-2019,0,6093
Air India,Kolkata,Banglore,545,1,1,5,9,25,18,30,01-05-2019,1,8891
Jet Airways,Delhi,Cochin,745,1,27,3,16,0,4,25,27-03-2019,1,12242
Jet Airways,Kolkata,Banglore,1500,1,1,5,17,0,18,0,01-05-2019,1,11467
Jet Airways,Kolkata,Banglore,730,1,21,5,21,10,9,20,21-05-2019,1,14781
Multiple carriers,Delhi,Cochin,720,1,18,5,7,0,19,0,18-05-2019,0,10197
Jet Airways,Banglore,New Delhi,725,1,6,3,21,25,9,30,06-03-2019,1,17261
Air India,Delhi,Cochin,765,1,1,5,20,40,9,25,01-05-2019,1,7480
IndiGo,Kolkata,Banglore,155,0,21,5,15,30,18,5,21-05-2019,1,4804
SpiceJet,Kolkata,Banglore,145,0,21,4,9,0,11,25,21-04-2019,1,4439
Jet Airways,Delhi,Cochin,1375,2,6,6,5,30,4,25,06-06-2019,0,10368
SpiceJet,Delhi,Cochin,310,1,21,3,6,10,11,20,21-03-2019,0,6065
Jet Airways,Kolkata,Banglore,585,1,24,5,18,55,4,40,24-05-2019,1,8586
IndiGo,Delhi,Cochin,185,0,18,3,14,30,17,35,18-03-2019,1,5406
Jet Airways,Delhi,Cochin,600,2,6,6,18,25,4,25,06-06-2019,1,12142
Jet Airways,Delhi,Cochin,620,1,6,6,2,15,12,35,06-06-2019,0,14714
Jet Airways,Delhi,Cochin,1570,1,15,6,2,15,4,25,15-06-2019,0,10262
Air India,Banglore,New Delhi,725,1,6,3,11,50,23,55,06-03-2019,1,15434
Air India,Kolkata,Banglore,1390,2,18,5,12,0,11,10,18-05-2019,1,10676
IndiGo,Kolkata,Banglore,155,0,21,4,20,20,22,55,21-04-2019,1,4804
Jet Airways,Delhi,Cochin,1025,2,9,6,19,30,12,35,09-06-2019,1,13014
IndiGo,Banglore,Delhi,170,0,3,5,10,10,13,0,03-05-2019,1,3943
Air India,Mumbai,Hyderabad,990,2,6,3,5,30,22,0,06-03-2019,0,9678
Jet Airways,Kolkata,Banglore,685,1,15,5,8,25,19,50,15-05-2019,0,14781
Multiple carriers,Delhi,Cochin,600,1,15,5,9,0,19,0,15-05-2019,1,10197
Air India,Delhi,Cochin,800,2,9,5,5,55,19,15,09-05-2019,0,10861
Jet Airways,Kolkata,Banglore,450,1,1,5,21,10,4,40,01-05-2019,1,10844
Air India,Delhi,Cochin,965,1,21,5,17,20,9,25,21-05-2019,1,7480
IndiGo,Delhi,Cochin,500,1,24,6,17,10,1,30,24-06-2019,1,5684
Jet Airways,Delhi,Cochin,1620,1,6,6,16,0,19,0,06-06-2019,1,14714
Jet Airways,Kolkata,Banglore,505,1,1,4,9,35,18,0,01-04-2019,1,9314
Air India,Kolkata,Banglore,155,0,15,3,20,45,23,20,15-03-2019,1,4435
Multiple carriers,Delhi,Cochin,690,1,27,6,7,30,19,0,27-06-2019,0,11789
SpiceJet,Banglore,Delhi,175,0,3,4,21,10,0,5,03-04-2019,1,3919
Jet Airways,Banglore,Delhi,175,0,6,4,15,15,18,10,06-04-2019,1,5198
SpiceJet,Banglore,New Delhi,170,0,24,3,5,45,8,35,24-03-2019,0,4273
Vistara,Kolkata,Banglore,1550,1,9,5,17,0,18,50,09-05-2019,1,8820
IndiGo,Mumbai,Hyderabad,90,0,6,5,12,0,13,30,06-05-2019,1,2754
Vistara,Kolkata,Banglore,1625,1,9,6,20,20,23,25,09-06-2019,1,8085
Jet Airways,Kolkata,Banglore,1480,1,9,6,20,25,21,5,09-06-2019,1,10539
Jet Airways,Kolkata,Banglore,750,1,9,6,9,35,22,5,09-06-2019,1,14676
Jet Airways,Delhi,Cochin,1570,1,27,3,2,15,4,25,27-03-2019,0,6017
Jet Airways,Banglore,Delhi,185,0,1,4,18,55,22,0,01-04-2019,1,4544
Trujet,Mumbai,Hyderabad,195,1,6,3,13,5,16,20,06-03-2019,1,4140
Jet Airways,Banglore,Delhi,175,0,3,5,11,10,14,5,03-05-2019,1,7229
Air India,Delhi,Cochin,1275,2,9,3,22,0,19,15,09-03-2019,0,16373
Air India,Kolkata,Banglore,1045,2,1,5,5,50,23,15,01-05-2019,0,10991
Jet Airways,Kolkata,Banglore,1315,1,18,5,14,5,12,0,18-05-2019,1,9663
Air India,Banglore,New Delhi,1520,1,1,3,22,0,23,20,01-03-2019,0,14305
Air Asia,Delhi,Cochin,865,1,15,5,16,45,7,10,15-05-2019,1,6752
Jet Airways,Kolkata,Banglore,1010,1,12,6,16,30,9,20,12-06-2019,1,8529
IndiGo,Delhi,Cochin,195,0,27,3,5,35,8,50,27-03-2019,0,4729
Multiple carriers,Delhi,Cochin,735,1,18,5,8,45,21,0,18-05-2019,0,7670
Jet Airways,Mumbai,Hyderabad,90,0,3,5,10,20,11,50,03-05-2019,1,4995
Jet Airways,Banglore,Delhi,180,0,1,5,8,20,11,20,01-05-2019,0,7229
IndiGo,Banglore,Delhi,175,0,27,4,7,10,10,5,27-04-2019,0,4823
Air Asia,Kolkata,Banglore,150,0,27,3,19,35,22,5,27-03-2019,1,3782
Jet Airways,Delhi,Cochin,1485,1,21,5,18,15,19,0,21-05-2019,1,12898
SpiceJet,Kolkata,Banglore,140,0,24,5,22,20,0,40,24-05-2019,0,3841
Multiple carriers,Delhi,Cochin,505,1,18,5,10,35,19,0,18-05-2019,1,9627
Jet Airways,Kolkata,Banglore,890,1,9,6,21,10,12,0,09-06-2019,1,14571
IndiGo,Kolkata,Banglore,155,0,24,3,15,20,17,55,24-03-2019,1,6985
Jet Airways,Mumbai,Hyderabad,85,0,21,6,7,5,8,30,21-06-2019,0,8040
IndiGo,Kolkata,Banglore,155,0,21,6,22,15,0,50,21-06-2019,0,4804
Multiple carriers,Delhi,Cochin,845,1,27,6,4,55,19,0,27-06-2019,0,10678
Jet Airways,Kolkata,Banglore,1515,1,24,3,16,55,18,10,24-03-2019,1,14231
Jet Airways,Kolkata,Banglore,1220,1,12,6,20,0,16,20,12-06-2019,1,8529
Air India,Delhi,Cochin,500,2,24,6,10,55,19,15,24-06-2019,1,11753
Jet Airways,Delhi,Cochin,1760,2,18,5,23,5,4,25,18-05-2019,0,16704
Jet Airways,Kolkata,Banglore,585,1,6,6,18,55,4,40,06-06-2019,1,13374
Air India,Mumbai,Hyderabad,80,0,1,5,21,5,22,25,01-05-2019,1,3625
Jet Airways,Delhi,Cochin,1620,1,21,5,16,0,19,0,21-05-2019,1,16079
Jet Airways,Delhi,Cochin,940,1,27,6,20,55,12,35,27-06-2019,1,10262
Jet Airways,Kolkata,Banglore,330,1,15,5,6,30,12,0,15-05-2019,0,9663
Multiple carriers,Delhi,Cochin,450,1,18,5,18,0,1,30,18-05-2019,1,9595
IndiGo,Kolkata,Banglore,155,0,24,6,17,15,19,50,24-06-2019,1,4804
Air India,Kolkata,Banglore,1165,2,9,6,10,0,5,25,09-06-2019,1,12744
Air India,Banglore,Delhi,170,0,1,6,13,20,16,10,01-06-2019,1,6961
Jet Airways,Kolkata,Banglore,875,1,6,5,14,5,4,40,06-05-2019,1,9663
Multiple carriers,Delhi,Cochin,520,1,21,5,10,35,19,15,21-05-2019,1,7575
Air India,Banglore,New Delhi,925,2,3,3,19,10,10,35,03-03-2019,1,13355
Air India,Kolkata,Banglore,1700,2,24,5,9,25,13,45,24-05-2019,1,12592
Air India,Mumbai,Hyderabad,90,0,1,6,13,55,15,25,01-06-2019,1,3625
Jet Airways,Delhi,Cochin,805,1,24,6,15,0,4,25,24-06-2019,1,10262
Air India,Delhi,Cochin,1410,2,21,5,19,45,19,15,21-05-2019,1,9443
Air India,Delhi,Cochin,635,1,9,3,8,40,19,15,09-03-2019,0,18959
IndiGo,Mumbai,Hyderabad,85,0,3,3,6,20,7,45,03-03-2019,0,4784
Air India,Kolkata,Banglore,1110,1,1,4,17,30,12,0,01-04-2019,1,7893
Air India,Delhi,Cochin,1490,2,27,6,6,50,7,40,27-06-2019,0,14431
Jet Airways Business,Banglore,New Delhi,340,1,1,3,5,45,11,25,01-03-2019,0,79512
Jet Airways,Mumbai,Hyderabad,90,0,24,5,19,35,21,5,24-05-2019,1,3210
Multiple carriers,Delhi,Cochin,900,1,9,3,6,0,21,0,09-03-2019,0,13677
Air India,Delhi,Cochin,1640,1,27,5,6,5,9,25,27-05-2019,0,7480
Air India,Delhi,Cochin,760,1,24,6,19,0,7,40,24-06-2019,1,8372
Jet Airways,Delhi,Cochin,1380,2,27,3,5,25,4,25,27-03-2019,0,11664
Air India,Banglore,Delhi,165,0,18,6,10,0,12,45,18-06-2019,1,6961
Air India,Banglore,Delhi,165,0,24,4,17,0,19,45,24-04-2019,1,6121
Air India,Banglore,Delhi,165,0,12,4,6,10,8,55,12-04-2019,0,5911
GoAir,Banglore,Delhi,170,0,6,5,11,40,14,30,06-05-2019,1,3398
Multiple carriers,Delhi,Cochin,390,1,9,6,19,0,1,30,09-06-2019,1,7530
GoAir,Banglore,Delhi,165,0,24,5,20,55,23,40,24-05-2019,1,3419
Vistara,Banglore,New Delhi,175,0,24,3,21,10,0,5,24-03-2019,1,6558
Air India,Kolkata,Banglore,1435,1,9,6,20,30,20,25,09-06-2019,1,10203
Jet Airways,Banglore,New Delhi,1525,1,12,3,18,55,20,20,12-03-2019,1,11087
SpiceJet,Banglore,New Delhi,170,0,24,3,20,30,23,20,24-03-2019,1,5575
Air Asia,Delhi,Cochin,870,1,24,4,7,55,22,25,24-04-2019,0,6152
Jet Airways,Kolkata,Banglore,435,1,9,5,10,20,17,35,09-05-2019,1,5608
Jet Airways,Banglore,New Delhi,1365,1,6,3,11,40,10,25,06-03-2019,1,17261
Jet Airways,Delhi,Cochin,1615,2,9,5,9,40,12,35,09-05-2019,1,15129
GoAir,Banglore,Delhi,165,0,6,5,20,55,23,40,06-05-2019,1,3419
IndiGo,Delhi,Cochin,285,1,21,3,10,45,15,30,21-03-2019,1,6218
Jet Airways,Delhi,Cochin,620,1,3,6,2,15,12,35,03-06-2019,0,14714
Multiple carriers,Delhi,Cochin,465,1,3,6,11,30,19,15,03-06-2019,1,14848
Jet Airways,Kolkata,Banglore,435,1,12,5,10,20,17,35,12-05-2019,1,9358
Air India,Kolkata,Banglore,1350,1,6,5,9,25,7,55,06-05-2019,1,8366
Multiple carriers,Delhi,Cochin,465,1,6,3,11,30,19,15,06-03-2019,1,15342
Jet Airways,Mumbai,Hyderabad,80,0,21,3,3,5,4,25,21-03-2019,0,5678
IndiGo,Kolkata,Banglore,155,0,6,5,22,15,0,50,06-05-2019,0,4804
Jet Airways,Kolkata,Banglore,475,1,24,5,8,25,16,20,24-05-2019,0,14571
Jet Airways,Kolkata,Banglore,740,1,1,4,8,25,20,45,01-04-2019,0,12681
Jet Airways,Banglore,New Delhi,780,1,6,3,21,25,10,25,06-03-2019,1,17261
Vistara,Kolkata,Banglore,1065,1,9,6,17,0,10,45,09-06-2019,1,9922
Jet Airways,Kolkata,Banglore,1025,1,18,5,18,55,12,0,18-05-2019,1,10844
SpiceJet,Banglore,Delhi,160,0,21,4,5,55,8,35,21-04-2019,0,4423
IndiGo,Banglore,Delhi,165,0,24,5,1,30,4,15,24-05-2019,0,3419
Jet Airways,Delhi,Cochin,335,1,24,6,22,50,4,25,24-06-2019,0,14714
Jet Airways,Banglore,New Delhi,340,1,9,3,5,45,11,25,09-03-2019,0,11087
IndiGo,Delhi,Cochin,570,1,27,6,16,0,1,30,27-06-2019,1,6316
SpiceJet,Chennai,Kolkata,135,0,27,5,9,45,12,0,27-05-2019,1,3543
Jet Airways,Kolkata,Banglore,1025,1,6,6,18,55,12,0,06-06-2019,1,14571
Jet Airways,Kolkata,Banglore,505,1,9,6,9,35,18,0,09-06-2019,1,14676
Jet Airways,Banglore,New Delhi,995,1,6,3,16,55,9,30,06-03-2019,1,17261
Jet Airways,Kolkata,Banglore,910,1,15,5,8,25,23,35,15-05-2019,0,13941
Air India,Delhi,Cochin,1565,1,3,3,6,10,8,15,03-03-2019,0,13348
Jet Airways,Banglore,Delhi,175,0,18,6,11,10,14,5,18-06-2019,1,8016
Jet Airways,Delhi,Cochin,330,1,27,5,7,5,12,35,27-05-2019,0,12898
Jet Airways,Banglore,Delhi,185,0,9,4,18,55,22,0,09-04-2019,1,7229
SpiceJet,Mumbai,Hyderabad,90,0,27,6,5,45,7,15,27-06-2019,0,2017
Jet Airways,Banglore,New Delhi,670,1,6,3,8,0,19,10,06-03-2019,0,16736
SpiceJet,Kolkata,Banglore,150,0,18,6,17,10,19,40,18-06-2019,1,3873
IndiGo,Delhi,Cochin,490,1,9,5,14,20,22,30,09-05-2019,1,6704
Jet Airways,Kolkata,Banglore,1495,1,6,6,18,55,19,50,06-06-2019,1,10844
Vistara,Banglore,New Delhi,160,0,9,3,19,40,22,20,09-03-2019,1,7450
Jet Airways,Banglore,New Delhi,730,1,6,3,16,55,5,5,06-03-2019,1,16736
Jet Airways,Delhi,Cochin,1295,1,15,6,15,0,12,35,15-06-2019,1,10262
Air India,Kolkata,Banglore,2065,2,1,5,5,50,16,15,01-05-2019,0,10991
SpiceJet,Banglore,Delhi,175,0,6,6,21,10,0,5,06-06-2019,1,3311
IndiGo,Delhi,Cochin,895,1,24,5,10,35,1,30,24-05-2019,1,7081
IndiGo,Banglore,Delhi,180,0,27,4,21,15,0,15,27-04-2019,1,3943
Air India,Delhi,Cochin,375,1,21,5,13,0,19,15,21-05-2019,1,8372
Air India,Delhi,Cochin,1410,2,9,3,19,45,19,15,09-03-2019,1,11701
Jet Airways,Banglore,Delhi,175,0,3,6,15,15,18,10,03-06-2019,1,5769
Multiple carriers,Delhi,Cochin,625,2,12,6,15,5,1,30,12-06-2019,1,15965
